user_id,rest_id,rating,date
0,0,2.0,1505988408
1,0,4.0,1411743237
2,0,3.0,1475782784
3,0,1.0,1457795257
4,0,4.0,1510922191
5,0,4.0,1390820621
6,0,5.0,1528444052
7,0,4.0,1549635641
8,0,2.0,1403796527
9,0,3.0,1418755174
10,0,1.0,1488817767
11,0,1.0,1489238720
12,0,1.0,1387019961
13,1,4.0,1438097730
14,1,5.0,1451908731
15,1,4.0,1382784531
16,1,4.0,1382851278
17,1,1.0,1470386044
18,1,1.0,1507466188
19,1,1.0,1408166362
20,1,1.0,1487422380
21,1,2.0,1398521244
22,1,4.0,1435721814
23,1,1.0,1551559392
24,1,2.0,1536394112
24,1,1.0,1565328327
25,2,4.0,1522823792
26,2,1.0,1525130336
27,2,2.0,1446228164
28,2,3.0,1459678565
29,2,1.0,1516377076
30,2,2.0,1527111066
31,2,3.0,1521366847
32,2,1.0,1443873291
33,2,1.0,1543760967
34,2,1.0,1574684901
35,2,4.0,1522671206
36,2,3.0,1561925708
37,2,4.0,1499542767
38,2,4.0,1513064611
39,2,2.0,1548578686
40,2,4.0,1548785293
41,2,4.0,1533033274
42,2,4.0,1557573305
43,2,3.0,1501949864
44,2,4.0,1456312893
45,2,1.0,1533519619
46,2,3.0,1484254236
47,2,4.0,1518332114
48,2,4.0,1551430902
49,2,5.0,1543511917
50,3,3.0,1462555441
51,3,5.0,1386428613
52,3,2.0,1434888535
53,3,1.0,1450696881
54,3,4.0,1531042330
55,3,3.0,1462723148
56,3,1.0,1488693590
57,3,3.0,1401275484
58,3,3.0,1473245851
59,3,1.0,1467384772
60,3,2.0,1476701702
61,3,5.0,1496101041
62,3,4.0,1412140887
63,3,5.0,1486971824
64,3,4.0,1413286818
65,3,2.0,1381544081
66,3,3.0,1453497644
67,3,3.0,1537468872
68,3,3.0,1501149562
69,3,2.0,1324749213
70,3,1.0,1313588072
71,3,5.0,1413690833
72,3,2.0,1370688359
73,3,5.0,1455800366
74,3,5.0,1480518536
75,3,2.0,1351362205
76,3,2.0,1293265661
77,3,5.0,1404879846
78,3,1.0,1439639027
79,3,1.0,1488104383
80,3,2.0,1533140063
81,3,3.0,1477424058
82,3,1.0,1525773168
83,3,3.0,1259835227
84,3,3.0,1502048785
79,3,1.0,1489246531
85,3,1.0,1464547615
86,3,2.0,1487433027
87,3,1.0,1460963745
88,3,3.0,1402141085
89,3,1.0,1407626611
90,3,1.0,1399907516
91,3,1.0,1499082534
92,3,1.0,1422781546
93,3,5.0,1543537622
94,3,3.0,1432728766
95,3,3.0,1378141293
96,3,5.0,1455783073
97,3,2.0,1533146841
98,3,1.0,1453831182
99,4,4.0,1340724493
100,4,1.0,1413112534
101,4,4.0,1359463762
102,4,5.0,1342598134
103,4,3.0,1365851688
104,4,4.0,1347867737
105,4,5.0,1307773472
106,4,2.0,1384893220
107,4,1.0,1352745801
108,4,4.0,1372406653
109,4,2.0,1385643382
110,4,2.0,1380124460
111,4,3.0,1313951709
